privilege_id,identity_id,resource_id,resource_name,resource_type,resource_criticality,platform,privilege_level,grant_path,is_excessive,is_dormant,last_used,computed_date
b52e7b91-09cd-4877-85f0-d6f03586372a,7914c120-c8dc-d19f-3e35-11287900f7f9,RES-a9488d99-0bbb-2599-11ce-5dd2b45ed1f0,ad-fileserver-finance,APPLICATION,HIGH,AD,READ,ROLE:AD-Standard-User,False,True,2025-09-29,2026-06-21 14:36:28
1c163ec4-e57e-4275-88b0-9901444b3ae7,7914c120-c8dc-d19f-3e35-11287900f7f9,RES-ddd1dfb2-3b98-2ef8-daf6-1a26146d3f31,ad-fileserver-engineering,APPLICATION,MEDIUM,AD,READ,ROLE:AD-Standard-User,False,False,2026-03-30,2026-06-21 14:36:28
a253f303-7184-4cf1-a6e5-7f9c082ff8ee,7914c120-c8dc-d19f-3e35-11287900f7f9,RES-7412b293-4729-4739-614f-f3d719db3ad0,ad-print-server,APPLICATION,LOW,AD,READ,ROLE:AD-Standard-User,False,True,2026-01-04,2026-06-21 14:36:28
9e6c7b05-75f3-4c86-a5e6-2136e9b010c3,7914c120-c8dc-d19f-3e35-11287900f7f9,RES-759cde66-bacf-b3d0-0b1f-9163ce9ff57f,azure-sharepoint-finance,APPLICATION,HIGH,AzureAD,WRITE,ROLE:AzureAD-Standard-User,False,False,2026-06-13,2026-06-21 14:36:28
fc6db50f-2e50-4af1-93de-c00ccc4d397c,7914c120-c8dc-d19f-3e35-11287900f7f9,RES-29a3b2e9-5d65-a441-d588-42dea2bc372f,sf-accounts-data,APPLICATION,HIGH,Salesforce,WRITE,ROLE:SF-Standard-User,False,False,2026-06-08,2026-06-21 14:36:28
c6fbafbc-d463-40ee-9cbb-654d78aceebe,7914c120-c8dc-d19f-3e35-11287900f7f9,RES-ab9099a4-35a2-40ae-5af3-05535ec42e08,sf-opportunities,APPLICATION,MEDIUM,Salesforce,WRITE,ROLE:SF-Standard-User,False,True,2025-12-29,2026-06-21 14:36:28
390f39e2-3914-4767-bc55-a087c1c0721e,7914c120-c8dc-d19f-3e35-11287900f7f9,RES-a28defe3-9bf0-0273-1247-6f57a5e5a5ab,sf-campaigns,APPLICATION,LOW,Salesforce,WRITE,ROLE:SF-Standard-User,False,False,2026-05-11,2026-06-21 14:36:28
b80c5a26-400c-453d-a9aa-cd1f67c5717e,a748dbcf-ac61-9e63-0dde-29a6baa4b71a,RES-a9488d99-0bbb-2599-11ce-5dd2b45ed1f0,ad-fileserver-finance,APPLICATION,HIGH,AD,READ,ROLE:AD-Standard-User,False,False,2026-06-12,2026-06-21 14:36:28
bda3c0f9-b25e-41c3-9e3b-497f4fbe672f,a748dbcf-ac61-9e63-0dde-29a6baa4b71a,RES-ddd1dfb2-3b98-2ef8-daf6-1a26146d3f31,ad-fileserver-engineering,APPLICATION,MEDIUM,AD,READ,ROLE:AD-Standard-User,False,True,2026-03-11,2026-06-21 14:36:28
4220146d-35c9-4ac2-8cd5-12362b8d0031,a748dbcf-ac61-9e63-0dde-29a6baa4b71a,RES-7412b293-4729-4739-614f-f3d719db3ad0,ad-print-server,APPLICATION,LOW,AD,READ,ROLE:AD-Standard-User,False,True,2025-10-20,2026-06-21 14:36:28
fbd18cdd-76f9-457f-a8d0-964bcb7635b0,a748dbcf-ac61-9e63-0dde-29a6baa4b71a,RES-759cde66-bacf-b3d0-0b1f-9163ce9ff57f,azure-sharepoint-finance,APPLICATION,HIGH,AzureAD,WRITE,ROLE:AzureAD-Standard-User,False,False,2026-06-13,2026-06-21 14:36:28
438ef21e-c90b-4900-8fb2-0234496b4c63,310c0c00-3fa7-f104-1bf9-0e27dc96925e,RES-a9488d99-0bbb-2599-11ce-5dd2b45ed1f0,ad-fileserver-finance,APPLICATION,HIGH,AD,READ,ROLE:AD-Standard-User,False,True,2026-01-05,2026-06-21 14:36:28
1989afaf-73ef-4f22-8b40-72ca163b5161,310c0c00-3fa7-f104-1bf9-0e27dc96925e,RES-ddd1dfb2-3b98-2ef8-daf6-1a26146d3f31,ad-fileserver-engineering,APPLICATION,MEDIUM,AD,READ,ROLE:AD-Standard-User,False,False,2026-05-19,2026-06-21 14:36:28
e2eaccad-7290-4e15-acd9-be9fbf594f79,310c0c00-3fa7-f104-1bf9-0e27dc96925e,RES-7412b293-4729-4739-614f-f3d719db3ad0,ad-print-server,APPLICATION,LOW,AD,READ,ROLE:AD-Standard-User,False,False,2026-05-31,2026-06-21 14:36:28
29024ef4-6982-4af6-a54d-8efb3454548b,310c0c00-3fa7-f104-1bf9-0e27dc96925e,RES-759cde66-bacf-b3d0-0b1f-9163ce9ff57f,azure-sharepoint-finance,APPLICATION,HIGH,AzureAD,WRITE,ROLE:AzureAD-Standard-User,False,False,2026-05-24,2026-06-21 14:36:28
3f949189-9e97-4504-94de-1749d0234e27,310c0c00-3fa7-f104-1bf9-0e27dc96925e,RES-23b8c1e9-3924-56de-3eb1-3b9046685257,prod-s3-engineering,S3_BUCKET,HIGH,AWS,READ,ROLE:AWS-ReadOnlyAccess,True,True,,2026-06-21 14:36:28
5c301533-880c-454f-b46f-8e37424b1ec7,310c0c00-3fa7-f104-1bf9-0e27dc96925e,RES-972a8469-1641-9f82-8b9d-2434e465e150,dev-s3-sandbox,S3_BUCKET,LOW,AWS,READ,ROLE:AWS-ReadOnlyAccess,True,True,,2026-06-21 14:36:28
3dbbc566-9600-488e-a876-c732bac74cb1,310c0c00-3fa7-f104-1bf9-0e27dc96925e,RES-43b7a3a6-9a8d-ca03-580d-7b71d8f56413,aws-api-users,API,MEDIUM,AWS,READ,ROLE:AWS-ReadOnlyAccess,False,True,2026-03-16,2026-06-21 14:36:28
39cbe602-3f97-4499-99e8-fba304c92a3a,db20a56e-dc81-5fe7-ceda-8bbb71710434,RES-a9488d99-0bbb-2599-11ce-5dd2b45ed1f0,ad-fileserver-finance,APPLICATION,HIGH,AD,FULL_CONTROL,ROLE:AD-Standard-User;ROLE:AD-Domain-Admins,False,True,2025-07-24,2026-06-21 14:36:28
6463365b-2826-4876-b57d-2de68e831902,db20a56e-dc81-5fe7-ceda-8bbb71710434,RES-ddd1dfb2-3b98-2ef8-daf6-1a26146d3f31,ad-fileserver-engineering,APPLICATION,MEDIUM,AD,FULL_CONTROL,ROLE:AD-Standard-User;ROLE:AD-Domain-Admins,True,True,,2026-06-21 14:36:28
8fbf4027-bd4a-4943-9fad-9005ca67cc4b,db20a56e-dc81-5fe7-ceda-8bbb71710434,RES-7412b293-4729-4739-614f-f3d719db3ad0,ad-print-server,APPLICATION,LOW,AD,FULL_CONTROL,ROLE:AD-Standard-User;ROLE:AD-Domain-Admins,False,True,2026-01-11,2026-06-21 14:36:28
2247de34-227d-4d4c-8d0d-258786e187b1,db20a56e-dc81-5fe7-ceda-8bbb71710434,RES-fc377a4c-4a15-544d-c5e7-ce8a3a578a8e,ad-dc-primary,COMPUTE,CRITICAL,AD,FULL_CONTROL,ROLE:AD-Domain-Admins,False,False,2026-06-14,2026-06-21 14:36:28
aa6d6967-7681-4dbf-9de8-733314ef3ae5,db20a56e-dc81-5fe7-ceda-8bbb71710434,RES-759cde66-bacf-b3d0-0b1f-9163ce9ff57f,azure-sharepoint-finance,APPLICATION,HIGH,AzureAD,ADMIN,ROLE:AzureAD-Standard-User;ROLE:AzureAD-User-Admin,False,False,2026-04-10,2026-06-21 14:36:28
f84c2711-566d-4ac8-8a36-e8dd31a9f54f,db20a56e-dc81-5fe7-ceda-8bbb71710434,RES-ec1b8ca1-f91e-1d4c-1ff4-9b7889463e85,azure-sharepoint-hr,APPLICATION,CRITICAL,AzureAD,ADMIN,ROLE:AzureAD-User-Admin,False,True,2025-09-16,2026-06-21 14:36:28
