action_id,incident_id,identity_id,canonical_id,action_type,recommended_action,priority,action_priority,affected_resource_id,estimated_risk_reduction,blast_radius_reduction,justification,estimated_effort,requires_approval,compliance_frameworks,status,generated_timestamp,llm_rationale
9119b648-eade-45ee-a74b-c3b4c35eed91,,00c59f30-d103-1424-4124-1bb4655ce508,00c59f30-d103-1424-4124-1bb4655ce508,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,16.33,0.0,Elevated privilege misconfiguration across 3 platform(s) with 4 effective privileges.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
8d3c4d83-42fa-4f0b-b979-2d80cf2dd1b2,,0274ce40-e090-16b6-b186-a5a8d6ee526b,0274ce40-e090-16b6-b186-a5a8d6ee526b,ENFORCE_MFA,ENFORCE_MFA,P2,high,,21.94,0.0,Identity holds 8 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 38% are provisioned but unused — classic over-provisioning.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
e7578fde-e8d2-4cce-ab11-c2178cd9bbb7,,02e7df89-b395-7a98-2320-4ff5b538f96c,02e7df89-b395-7a98-2320-4ff5b538f96c,ENFORCE_MFA,ENFORCE_MFA,P4,low,,19.8,0.0,Elevated privilege misconfiguration across 4 platform(s) with 11 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
ff534913-9450-4b2c-a5a9-658770cc058b,a5ccbad5-06fa-4795-a31f-36f6984d0b5d,033d2bce-575a-ed2c-a5c5-650c8186a576,033d2bce-575a-ed2c-a5c5-650c8186a576,ENFORCE_MFA,ENFORCE_MFA,P2,high,,13.26,0.0,Identity holds 13 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 8% are provisioned but unused — classic over-provisioning.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
742c7e22-87a9-49e7-978c-98a27fffe819,,03edd1f8-74f9-3d17-e912-b4bf86a4bae4,03edd1f8-74f9-3d17-e912-b4bf86a4bae4,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P3,medium,,15.35,0.0,Identity holds 8 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 0% are provisioned but unused — classic over-provisioning.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
8aa771bf-4276-4177-b8c1-82226f9a5c85,,0406ff44-7ce4-0679-a8c6-dbc07bb3447b,0406ff44-7ce4-0679-a8c6-dbc07bb3447b,ENFORCE_MFA,ENFORCE_MFA,P4,low,,32.83,0.0,Elevated identity hygiene failure across 3 platform(s) with 7 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
2f9d6aaf-0e59-49c3-9d1a-f4284de2f14b,,042b03ca-75a7-2686-d632-1d31c8acffcf,042b03ca-75a7-2686-d632-1d31c8acffcf,ENFORCE_MFA,ENFORCE_MFA,P2,high,,15.94,0.0,Identity holds 6 ADMIN/FULL_CONTROL privileges across 2 resource platform(s); 0% are provisioned but unused — classic over-provisioning.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
03dbcfa7-9475-40df-80a9-73eb9e6440b6,,04ffeab2-cb7b-0b3a-8b2d-158acd5ae324,04ffeab2-cb7b-0b3a-8b2d-158acd5ae324,ENFORCE_MFA,ENFORCE_MFA,P4,low,,43.79,0.0,Elevated identity hygiene failure across 1 platform(s) with 3 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
b29b3539-c34f-4768-8666-434857ec166d,,05000bc6-b20d-cb6e-f231-1f1795863a76,05000bc6-b20d-cb6e-f231-1f1795863a76,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,16.35,0.0,Elevated privilege misconfiguration across 4 platform(s) with 7 effective privileges.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
1ddbe98d-7850-42cd-9eaa-348c09a3a96d,,059dd55d-4b94-3e30-b303-f438fe2110d0,059dd55d-4b94-3e30-b303-f438fe2110d0,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,12.42,0.0,Elevated privilege misconfiguration across 3 platform(s) with 4 effective privileges.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
dcd1d996-9657-44e8-9013-02afd3d9e3c5,,05c8234b-1d76-3a66-b5f5-9cb0cf685878,05c8234b-1d76-3a66-b5f5-9cb0cf685878,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,16.2,0.0,Elevated privilege misconfiguration across 3 platform(s) with 4 effective privileges.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
e0a96c80-31aa-4c5f-a5a9-cbcd6bb8690c,,061efb95-68f8-2063-eeb1-9ad201a1fb0f,061efb95-68f8-2063-eeb1-9ad201a1fb0f,ENFORCE_MFA,ENFORCE_MFA,P4,low,,35.88,0.0,Elevated identity hygiene failure across 2 platform(s) with 4 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
455df9b0-d084-44a5-b6aa-b1e0389b5825,,06a241af-1d0a-f7f7-f5e4-a4713fe68c9c,06a241af-1d0a-f7f7-f5e4-a4713fe68c9c,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,12.06,0.0,Elevated behavioural anomaly across 5 platform(s) with 10 effective privileges.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
0fc20040-9131-4914-9d51-cbc884370072,,06e3f949-8cd3-4c62-c482-9b71ae84b81c,06e3f949-8cd3-4c62-c482-9b71ae84b81c,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,16.51,0.0,Elevated privilege misconfiguration across 4 platform(s) with 7 effective privileges.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
ecdb184a-a69e-4fa0-9071-562128ed353d,c1e89217-566a-494b-b600-e314eb6c62c7,085eb489-4ac6-6780-3874-9f3cc2d49b56,085eb489-4ac6-6780-3874-9f3cc2d49b56,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P3,medium,,10.12,0.0,Identity has an offboarding record with compliance_status=NON_COMPLIANT and offboarding_gap_score=0.83. Access was not revoked on schedule. Detection involved both ML anomaly scoring and a deterministic IAM rule.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
863b0cc0-3b2f-4e43-b7fe-1ce706391b8d,,098c60b3-efc9-909e-d9af-6e09b91e3d6e,098c60b3-efc9-909e-d9af-6e09b91e3d6e,ENFORCE_MFA,ENFORCE_MFA,P4,low,,22.46,0.0,Elevated privilege misconfiguration across 4 platform(s) with 7 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
a41fc7b0-f1ad-4c8c-9438-c1d5d6e9ad86,,09a0a0f6-73b0-a091-7634-c1694f76e388,09a0a0f6-73b0-a091-7634-c1694f76e388,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,12.13,0.0,Elevated behavioural anomaly across 5 platform(s) with 10 effective privileges.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
b95aa7a0-5d7b-445b-855a-7af54c1b3456,,09b7fdf7-7d8d-3ddd-2cf1-49cb4f1e1a37,09b7fdf7-7d8d-3ddd-2cf1-49cb4f1e1a37,ENFORCE_MFA,ENFORCE_MFA,P4,low,,42.96,0.0,Elevated identity hygiene failure across 1 platform(s) with 1 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
9505bca5-d119-428d-bd50-ea7bfe29f895,,0a0537f0-2c2c-d22b-a568-95c6812a1f9b,0a0537f0-2c2c-d22b-a568-95c6812a1f9b,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P3,medium,,8.41,0.0,Identity has an offboarding record with compliance_status=NON_COMPLIANT and offboarding_gap_score=0.91. Access was not revoked on schedule. Detection involved both ML anomaly scoring and a deterministic IAM rule.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
296d4076-da51-4178-a412-df800d7b9eda,,0ab54bde-20a0-4502-6e06-809725e97977,0ab54bde-20a0-4502-6e06-809725e97977,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,14.83,0.0,Elevated privilege misconfiguration across 4 platform(s) with 7 effective privileges.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
16819d33-9149-4f43-b407-ca93072f3810,,0ba6eab9-4639-447b-2067-bdac88bd13d1,0ba6eab9-4639-447b-2067-bdac88bd13d1,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P3,medium,,16.63,0.0,Identity holds 12 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 8% are provisioned but unused — classic over-provisioning.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
423e54a3-0673-4a2b-b2da-4ee916cac77b,a5f4154f-6c5c-45de-a8d9-0c2209efb4d3,0c3ce284-c7e5-3bbb-dcb5-1c535b62a8df,0c3ce284-c7e5-3bbb-dcb5-1c535b62a8df,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P3,medium,,10.11,0.0,Identity has an offboarding record with compliance_status=NON_COMPLIANT and offboarding_gap_score=0.93. Access was not revoked on schedule. Detection involved both ML anomaly scoring and a deterministic IAM rule.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
38ca4f13-65e6-4e80-9567-9d359187e2b8,,0cf697a5-7603-c36c-f139-4e3c0aee2557,0cf697a5-7603-c36c-f139-4e3c0aee2557,ENFORCE_MFA,ENFORCE_MFA,P4,low,,43.79,0.0,Elevated identity hygiene failure across 1 platform(s) with 3 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
c94cfb82-a553-4e7a-a255-d96ae1c29686,,0d259caa-b8ad-ad87-3a40-45dd93dfd907,0d259caa-b8ad-ad87-3a40-45dd93dfd907,REQUIRE_RECERTIFICATION,REQUIRE_RECERTIFICATION,P4,low,,11.66,0.0,Elevated behavioural anomaly across 2 platform(s) with 3 effective privileges.,quick,False,"[""NIST-AC-2(9)"", ""NIST-AC-5"", ""CIS-5.1"", ""CIS-6.1"", ""ISO-A.9.2.5"", ""SOC2-CC6.3""]",RECOMMENDED,2026-06-21 14:36:33,
380dcdd1-fc0c-4b96-83fd-57436bee9a98,,0d31812e-30c3-6756-d453-f867b97e6224,0d31812e-30c3-6756-d453-f867b97e6224,REVOKE_ROLE,REVOKE_ROLE,P2,high,RES-9a1de644-815e-f6d1-3b8f-aa1837f8a88b,46.51,55.56,Identity holds 27 ADMIN/FULL_CONTROL privileges across 4 resource platform(s); 22% are provisioned but unused — classic over-provisioning.,moderate,True,"[""NIST-AC-6"", ""NIST-AC-6(1)"", ""CIS-5.4"", ""CIS-6.8"", ""ISO-A.9.2.2"", ""ISO-A.9.2.5"", ""SOX-ITGC-AC""]",RECOMMENDED,2026-06-21 14:36:33,
feb0f000-a22d-43a0-8b61-45927df86bc8,,0e165b12-9bdc-70d1-9cbf-7b8c74102d5d,0e165b12-9bdc-70d1-9cbf-7b8c74102d5d,ENFORCE_MFA,ENFORCE_MFA,P4,low,,41.46,0.0,Elevated identity hygiene failure across 3 platform(s) with 4 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
4a873942-2952-4a59-a9d9-dd07efbd2d4d,,0e5dd462-cbd0-0ef2-530a-37df0bc61066,0e5dd462-cbd0-0ef2-530a-37df0bc61066,ENFORCE_MFA,ENFORCE_MFA,P4,low,,24.06,0.0,Identity has an offboarding record with compliance_status=NON_COMPLIANT and offboarding_gap_score=1.00. Access was not revoked on schedule. Detection was triggered by a deterministic IAM governance rule (not an ML model).,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
f6966894-2872-409e-9dee-c55419c10068,,0eaf04b5-f2a9-dc8a-ca9e-4a62fae3114b,0eaf04b5-f2a9-dc8a-ca9e-4a62fae3114b,ENFORCE_MFA,ENFORCE_MFA,P4,low,,23.55,0.0,Elevated identity hygiene failure across 5 platform(s) with 10 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
3f977c50-4193-4608-8004-d1f3716e56d8,,0f6ce9bf-fe7e-e362-8a89-b0f0105291d3,0f6ce9bf-fe7e-e362-8a89-b0f0105291d3,ENFORCE_MFA,ENFORCE_MFA,P4,low,,26.79,0.0,Elevated identity hygiene failure across 3 platform(s) with 6 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
7bbeaec9-8ffb-4867-9659-46ad9ebf49e3,,0fc98d2e-030f-9be9-1f17-8f9323c97a1e,0fc98d2e-030f-9be9-1f17-8f9323c97a1e,ENFORCE_MFA,ENFORCE_MFA,P4,low,,43.24,0.0,Elevated identity hygiene failure across 1 platform(s) with 3 effective privileges.,quick,False,"[""NIST-IA-2"", ""NIST-IA-2(1)"", ""NIST-IA-2(2)"", ""CIS-6.3"", ""ISO-A.9.4.2"", ""SOC2-CC6.1""]",RECOMMENDED,2026-06-21 14:36:33,
