risk_id,canonical_id,privilege_risk_component,behavioural_risk_component,identity_risk_component,compliance_risk_component,final_risk_score,risk_tier,risk_drivers,previous_risk_score,score_delta,computed_timestamp,evidence,root_cause,business_impact,detection_method
b77c2c44-def3-4244-89e5-256e01453f67,00c59f30-d103-1424-4124-1bb4655ce508,10.67,2.38,1.33,0.0,4.83,LOW,"[""privilege_risk""]",,,2026-06-21 15:10:28,login_frequency=1.73 logins/30d across 3 platform(s),Elevated privilege misconfiguration across 3 platform(s) with 4 effective privileges.,Low risk — standard profile with 4 effective privileges across 3 platform(s). No immediate action required.,NONE
0e7d5108-1df2-4e6a-a802-d2ecb87048ac,0274ce40-e090-16b6-b186-a5a8d6ee526b,71.96,38.18,67.11,0.0,51.97,MEDIUM,"[""excessive_admin_privileges"", ""mfa_disabled"", ""dormant_account""]",,,2026-06-21 15:10:28,admin_role_count=8 (100% of 8 privileges are ADMIN/FULL_CONTROL); dormant_days=122 (no activity for 122 days); MFA disabled on at least one platform account; holds effective privileges on CRITICAL-rated resources,Identity holds 8 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 38% are provisioned but unused — classic over-provisioning.,Moderate risk — 8 effective privileges with 38% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,IF_PREDICT
f060f362-bf75-4c85-a07a-358c4a102413,02e7df89-b395-7a98-2320-4ff5b538f96c,38.88,22.91,30.67,0.0,27.76,LOW,"[""high_unused_privilege_ratio"", ""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated privilege misconfiguration across 4 platform(s) with 11 effective privileges.,Low risk — standard profile with 11 effective privileges across 4 platform(s). No immediate action required.,NONE
d38dee62-68c6-4b78-af0e-313036705863,033d2bce-575a-ed2c-a5c5-650c8186a576,80.82,36.27,31.11,0.0,47.2,MEDIUM,"[""excessive_admin_privileges"", ""mfa_disabled""]",,,2026-06-21 15:10:28,admin_role_count=13 (100% of 13 privileges are ADMIN/FULL_CONTROL); MFA disabled on at least one platform account; holds effective privileges on CRITICAL-rated resources,Identity holds 13 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 8% are provisioned but unused — classic over-provisioning.,Moderate risk — 13 effective privileges with 8% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,IF_PREDICT
a82259c9-5637-443a-902f-752404af290a,03edd1f8-74f9-3d17-e912-b4bf86a4bae4,66.33,29.44,0.44,0.0,33.61,MEDIUM,"[""excessive_admin_privileges""]",,,2026-06-21 15:10:28,admin_role_count=8 (100% of 8 privileges are ADMIN/FULL_CONTROL); holds effective privileges on CRITICAL-rated resources,Identity holds 8 ADMIN/FULL_CONTROL privileges across 3 resource platform(s); 0% are provisioned but unused — classic over-provisioning.,Moderate risk — 8 effective privileges with 0% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,NONE
cac37575-1c51-4000-8d0c-b9e2f05483d3,0406ff44-7ce4-0679-a8c6-dbc07bb3447b,18.67,2.14,30.67,0.0,13.42,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 3 platform(s) with 7 effective privileges.,Low risk — standard profile with 7 effective privileges across 3 platform(s). No immediate action required.,NONE
d4ead0bc-b9ad-469b-b6b8-566cd8f95e33,042b03ca-75a7-2686-d632-1d31c8acffcf,61.0,32.03,32.44,0.0,39.05,MEDIUM,"[""excessive_admin_privileges"", ""mfa_disabled""]",,,2026-06-21 15:10:28,admin_role_count=6 (100% of 6 privileges are ADMIN/FULL_CONTROL); MFA disabled on at least one platform account; holds effective privileges on CRITICAL-rated resources,Identity holds 6 ADMIN/FULL_CONTROL privileges across 2 resource platform(s); 0% are provisioned but unused — classic over-provisioning.,Moderate risk — 6 effective privileges with 0% unused. Low-urgency credential hygiene issue that may escalate if not addressed in the next sprint.,NONE
dac8f0dd-c80e-4c94-bd16-92939e503dd5,04ffeab2-cb7b-0b3a-8b2d-158acd5ae324,8.0,8.85,40.44,0.0,13.99,LOW,"[""mfa_disabled""]",,,2026-06-21 15:10:28,MFA disabled on at least one platform account,Elevated identity hygiene failure across 1 platform(s) with 3 effective privileges.,Low risk — standard profile with 3 effective privileges across 1 platform(s). No immediate action required.,NONE
d3e48d94-bc0a-4cd9-a257-c4450e3b9427,05000bc6-b20d-cb6e-f231-1f1795863a76,20.81,6.34,0.44,0.0,9.59,LOW,"[""privilege_risk""]",,,2026-06-21 15:10:28,login_frequency=4.52 logins/30d across 4 platform(s),Elevated privilege misconfiguration across 4 platform(s) with 7 effective privileges.,Low risk — standard profile with 7 effective privileges across 4 platform(s). No immediate action required.,NONE
f57be4ae-a7a9-4dec-9e6f-4411c94cde56,059dd55d-4b94-3e30-b303-f438fe2110d0,10.67,10.06,0.89,0.0,7.43,LOW,"[""privilege_risk""]",,,2026-06-21 15:10:28,login_frequency=2.71 logins/30d across 3 platform(s),Elevated privilege misconfiguration across 3 platform(s) with 4 effective privileges.,Low risk — standard profile with 4 effective privileges across 3 platform(s). No immediate action required.,NONE
