mapping_id,identity_id,role_id,role_name,platform,assignment_type,assigned_by,assigned_date,expiry_date,ticket_id,approval_date,approver_id
222db2cf-bc34-3d5d-df9e-14257a7628e6,7914c120-c8dc-d19f-3e35-11287900f7f9,ROLE-d0e6e660-7c69-dee1-bb5e-4bcf15ed6269,AD-Standard-User,AD,direct,a748dbcf-ac61-9e63-0dde-29a6baa4b71a,2023-04-29,,,,
97d02f8f-affd-d43b-2c69-1f0442bbeaae,1825bc54-30be-b45f-6835-14f2ceb81f9d,ROLE-edcd465e-3638-6821-f6e0-7cc06c52c49f,AzureAD-Standard-User,AzureAD,direct,db20a56e-dc81-5fe7-ceda-8bbb71710434,2024-03-20,,,,
4823debe-ccad-e92e-53dc-4faed3a71b83,5ab33edf-6e59-5ed3-a8b3-17fa18d0752b,ROLE-080aadfb-e7c9-9b26-1141-25c63a9bedd4,Okta-Standard-User,Okta,direct,dd2467ac-778e-edb3-693d-ffbc6c6fa611,2024-07-18,,,,
5e1b015f-6a1c-701b-159b-2b6b32dba028,dd2467ac-778e-edb3-693d-ffbc6c6fa611,ROLE-7c441fe7-ab42-20a7-474a-493b3ceddf2d,SF-Standard-User,Salesforce,direct,c8fe3ccd-c8b8-d9c6-ed30-49cf43e458fc,2025-01-31,,,,
60980b94-e05b-1892-64bc-08cf2e904b5c,a748dbcf-ac61-9e63-0dde-29a6baa4b71a,ROLE-d0e6e660-7c69-dee1-bb5e-4bcf15ed6269,AD-Standard-User,AD,direct,0f844fef-1931-e9ee-a56c-0941fbf24050,2022-07-31,,,,
92051da0-e264-3336-d5ad-86bcf1db9ad8,0f844fef-1931-e9ee-a56c-0941fbf24050,ROLE-edcd465e-3638-6821-f6e0-7cc06c52c49f,AzureAD-Standard-User,AzureAD,direct,c0e9ab30-ed26-62e9-17e0-11b7f8102383,2024-02-12,,,,
05e15e2f-f2b7-4922-054e-dd713977fd2f,ccf3a171-56dc-8907-ba6c-34ab6712303a,ROLE-080aadfb-e7c9-9b26-1141-25c63a9bedd4,Okta-Standard-User,Okta,direct,a748dbcf-ac61-9e63-0dde-29a6baa4b71a,2022-08-05,,,,
9cac3d21-a5a8-c8af-8efb-d22aec511744,310c0c00-3fa7-f104-1bf9-0e27dc96925e,ROLE-d0e6e660-7c69-dee1-bb5e-4bcf15ed6269,AD-Standard-User,AD,direct,a6f2f7b8-0cf3-5b58-1910-8be58ce21ea3,2021-12-20,2026-08-01,TKT-202606-69333,2023-11-19,ccf3a171-56dc-8907-ba6c-34ab6712303a
16c72b1a-e826-fac7-3a8c-8ed5a06aa68a,23e2fcb4-72d8-567d-894a-05e430b187ef,ROLE-edcd465e-3638-6821-f6e0-7cc06c52c49f,AzureAD-Standard-User,AzureAD,direct,dd59ba71-36b8-2481-7b3a-4e3e7c52fa17,2025-08-20,2026-11-17,TKT-202606-89682,2025-10-30,2a25a888-0f02-bad0-e706-7ef466aa9385
430438b5-32c1-92f1-7661-7a3bf9606ca3,766ecb15-474e-bc19-2ef9-12766c006f61,ROLE-5f987c71-a65e-688e-abf3-ad39fec21bbe,AWS-ReadOnlyAccess,AWS,direct,ccf3a171-56dc-8907-ba6c-34ab6712303a,2021-08-15,2026-10-11,TKT-202606-76989,2024-06-03,db20a56e-dc81-5fe7-ceda-8bbb71710434
